iter	Passed	Remaining
0	0	80
1	1	91
2	2	93
3	3	86
4	4	85
5	5	82
6	6	80
7	6	80
8	8	81
9	8	80
10	9	80
11	10	79
12	11	78
13	12	78
14	13	77
15	14	76
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	72
22	21	71
23	22	70
24	23	69
25	24	69
26	25	68
27	26	68
28	27	67
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	58	40
59	59	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	68	30
69	69	29
70	70	28
71	71	27
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
