iter	Passed	Remaining
0	132	132837
1	133	66724
2	134	44664
3	135	33655
4	135	27042
5	136	22613
6	137	19452
7	137	17077
8	138	15235
9	138	13757
10	139	12549
11	140	11542
12	140	10691
13	141	9962
14	142	9330
15	142	8775
16	143	8285
17	143	7851
18	144	7461
19	145	7110
20	145	6793
21	146	6505
22	146	6242
23	147	5998
24	148	5774
25	148	5567
26	149	5375
27	149	5196
28	150	5031
29	150	4877
30	151	4733
31	152	4599
32	152	4474
33	153	4357
34	153	4244
35	154	4137
36	155	4036
37	155	3940
38	156	3850
39	156	3762
40	157	3682
41	158	3606
42	158	3532
43	159	3461
44	159	3393
45	160	3328
46	161	3266
47	161	3206
48	162	3149
49	162	3094
50	163	3040
51	164	2990
52	164	2942
53	165	2895
54	165	2849
55	166	2805
56	167	2762
57	167	2721
58	168	2682
59	168	2643
60	169	2606
61	169	2570
62	170	2536
63	171	2508
64	172	2477
65	172	2444
66	173	2413
67	173	2383
68	174	2354
69	175	2326
70	175	2297
71	176	2270
72	176	2246
73	177	2222
74	178	2197
75	178	2173
76	179	2150
77	179	2127
78	180	2104
79	181	2082
80	181	2060
81	182	2040
82	182	2017
83	183	1998
84	183	1979
85	184	1960
86	185	1942
87	185	1925
88	186	1907
89	186	1890
90	187	1873
91	188	1856
92	188	1841
93	189	1825
94	190	1810
95	190	1794
96	191	1779
97	191	1764
98	192	1750
99	192	1735
100	193	1721
101	194	1708
102	194	1695
103	195	1683
104	195	1670
105	196	1657
106	197	1645
107	197	1633
108	198	1620
109	199	1610
110	199	1598
111	200	1587
112	200	1576
113	201	1565
114	202	1555
115	202	1544
116	203	1532
117	203	1521
118	204	1511
119	204	1501
120	205	1491
121	205	1480
122	206	1470
123	206	1461
124	207	1452
125	208	1443
126	208	1434
127	209	1424
128	209	1416
129	210	1407
130	210	1398
131	211	1390
132	211	1381
133	212	1373
134	213	1366
135	213	1359
136	214	1351
137	215	1343
138	215	1336
139	216	1328
140	216	1321
141	217	1312
142	217	1305
143	218	1297
144	218	1290
145	219	1284
146	220	1278
147	220	1271
148	221	1264
149	221	1257
150	222	1251
151	223	1244
152	223	1237
153	224	1231
154	224	1225
155	225	1218
156	226	1213
157	226	1208
158	227	1202
159	227	1196
160	228	1189
161	228	1183
162	229	1178
163	230	1172
164	230	1167
165	231	1162
166	231	1156
167	232	1152
168	233	1146
169	233	1141
170	234	1136
171	234	1130
172	235	1125
173	236	1120
174	236	1115
175	237	1110
176	237	1105
177	238	1101
178	239	1096
179	239	1092
180	240	1087
181	240	1082
182	241	1078
183	242	1073
184	242	1068
185	243	1063
186	243	1059
187	244	1054
188	245	1051
189	245	1047
190	246	1043
191	246	1039
192	247	1034
193	248	1030
194	248	1026
195	249	1022
196	249	1018
197	250	1014
198	250	1010
199	251	1006
200	252	1002
201	252	998
202	253	994
203	253	990
204	254	986
205	255	983
206	255	979
207	256	976
208	257	972
209	257	969
210	258	965
211	258	962
212	259	958
213	260	955
214	260	951
215	261	948
216	261	944
217	262	941
218	263	937
219	263	934
220	264	931
221	264	928
222	265	925
223	266	921
224	266	918
225	267	915
226	267	911
227	268	908
228	268	905
229	269	902
230	270	899
231	270	896
232	271	893
233	271	890
234	272	886
235	273	883
236	273	880
237	274	877
238	274	874
239	275	871
240	275	868
241	276	866
242	277	863
243	277	860
244	278	857
245	278	854
246	279	851
247	279	848
248	280	845
249	281	843
250	281	840
